product_id,industry_id,exposure_score,rank
0,16494,32,644.0
0,16534,38,497.0
0,16446,26,831.0
0,16236,38,498.0
0,16236,14,1426.0
0,16236,19,1110.0
0,16198,25,871.0
0,16255,39,480.0
0,16159,242,126.0
0,16744,29,725.0
0,16744,28,761.0
0,16159,3,2148.0
0,16572,205,141.0
0,16572,191,146.0
0,16578,103,208.0
0,16040,1,2253.0
0,16040,20,1077.0
0,16694,21,1027.0
0,16044,30,695.0
0,16062,30,696.0
0,16048,39,481.0
0,16049,48,358.0
0,16048,14,1427.0
0,16450,43,409.0
0,16054,1,2254.0
0,16053,103,209.0
0,16054,103,210.0
0,16054,12,1568.0
0,16636,10,1717.0
0,16143,15,1351.0
0,16357,15,1352.0
0,16058,26,832.0
0,16357,21,1028.0
0,16358,23,944.0
0,16058,36,537.0
0,16358,36,538.0
0,16344,40,458.0
0,16343,24,916.0
0,16357,29,726.0
0,16357,20,1078.0
0,16343,18,1171.0
0,16058,5,2045.0
0,16343,5,2046.0
0,16357,5,2047.0
0,16425,18,1172.0
0,16693,18,1173.0
0,16355,11,1634.0
0,16421,25,872.0
0,16425,42,426.0
0,16044,19,1111.0
0,16049,1,2255.0
0,16044,11,1635.0
0,16048,10,1718.0
0,16048,29,727.0
0,16047,26,833.0
0,16043,39,482.0
0,16049,24,917.0
0,16044,1,2256.0
0,16750,18,1174.0
0,16074,26,834.0
0,16076,6,1980.0
0,16073,367,67.0
0,16070,13,1489.0
0,16070,20,1079.0
0,16048,11,1636.0
0,16071,8,1856.0
0,16075,27,792.0
0,16076,27,793.0
0,16094,19,1112.0
0,16470,19,1113.0
0,16094,11,1637.0
0,16076,14,1428.0
0,16159,4,2104.0
0,16075,29,728.0
0,16077,33,615.0
0,16075,41,441.0
0,16383,20,1080.0
0,16075,12,1569.0
0,16075,186,147.0
0,16073,185,148.0
0,16499,339,69.0
0,16075,8,1857.0
0,16159,4,2105.0
0,16159,5,2048.0
0,16159,10,1719.0
0,16497,11,1638.0
0,16159,8,1858.0
0,16497,19,1114.0
0,16669,1,2257.0
0,16669,22,985.0
0,16669,40,459.0
0,16446,26,835.0
0,16119,24,918.0
0,16159,24,919.0
0,16086,12,1570.0
0,16084,156,160.0
0,16086,156,161.0
0,16084,6,1981.0
0,16580,13,1490.0
0,16583,13,1491.0
0,16583,391,58.0
0,16125,389,59.0
0,16130,388,60.0
0,16126,6,1982.0
0,16581,6,1983.0
0,16583,6,1984.0
0,16583,30,697.0
0,16583,11,1639.0
0,16319,5,2049.0
0,16765,29,729.0
0,16372,1,2258.0
0,16373,1,2259.0
0,16223,60,296.0
0,16474,60,297.0
0,16707,1,2260.0
0,16708,1,2261.0
0,16707,1,2262.0
0,16708,3,2149.0
0,16599,11,1640.0
0,16650,6,1985.0
0,16098,23,945.0
0,16325,9,1787.0
0,16155,1,2263.0
0,16599,641,41.0
0,16599,30,698.0
0,16599,16,1297.0
0,16399,7,1922.0
0,16446,29,730.0
0,16340,21,1029.0
0,16450,23,946.0
0,16446,18,1175.0
0,16446,8,1859.0
0,16539,7,1923.0
0,16446,8,1860.0
0,16446,71,270.0
0,16450,70,271.0
0,16450,19,1115.0
0,16227,7,1924.0
