ticker_id,product_id,exposure_bucket
14975,696,Medium
14975,14187,Medium
14967,169,Low
14967,392,High
14967,393,Low
14972,1246,Low
14972,11385,Low
14972,12503,Low
14968,6632,Low
14968,7202,Medium
14968,6655,Medium
14978,14622,Low
14978,13291,Low
14978,13830,Low
14977,5518,Medium
14977,5517,Low
14977,7708,Low
15001,11620,High
15001,11617,Low
15001,11621,Medium
14984,9250,Low
14984,1372,Medium
14984,9838,Medium
15002,10034,Low
15002,7077,Low
15002,12859,Low
15005,2728,High
14980,10426,Low
14980,10419,Low
14980,10476,Medium
14980,7993,Low
15012,6581,Medium
15012,10363,Medium
15012,10364,Medium
14986,6274,Low
14986,11761,High
14986,5393,Medium
15870,783,Medium
15870,2854,High
14976,10063,High
14992,1853,Medium
14992,2761,Medium
14992,1296,Medium
14996,6647,Medium
14996,5096,High
14996,6653,Medium
14985,789,Medium
14985,6664,Medium
14987,4351,Medium
14987,4365,Low
14987,4367,High
14994,2482,Low
14994,3251,High
15829,10901,Low
14979,3156,High
14993,11458,Low
14993,11457,Medium
14989,8555,High
14989,7079,Medium
15011,6194,Medium
15011,3033,Low
15011,14345,Low
15000,8549,High
14966,12612,Low
14966,4919,Low
14966,166,Medium
14966,9412,Medium
14974,6197,Low
14974,10890,Low
14974,1538,Low
15009,9827,Medium
15009,13696,Low
15009,9819,Low
14999,4256,High
15767,1256,Low
15767,8430,High
15767,12651,Low
15006,7219,Low
15006,3572,Low
15006,14023,Low
15006,1754,Medium
15006,5419,Low
14969,6664,High
14997,6664,High
14997,786,Medium
14948,6733,Low
14948,11556,High
14948,6317,Low
14970,13022,Low
14981,14327,High
14981,6096,Low
14981,4797,Low
14981,11987,Low
15003,5397,High
15003,5394,Low
15003,6555,Medium
14973,7082,Low
14973,5285,Low
14973,14279,Low
14971,10879,Medium
14971,13041,High
14991,1534,Low
14991,14343,Low
14991,3030,Low
14982,12586,Medium
14982,2729,Low
14982,13094,Low
14982,6470,Low
15008,4878,Low
15008,6756,Low
15008,13298,Low
15013,7215,Low
15025,12059,Low
15035,6322,Low
15035,11311,Medium
15035,11549,Low
15038,5260,Medium
15038,5263,Low
15044,1635,Low
15044,3356,Medium
15044,9185,Low
15045,637,Low
15045,14021,Medium
15045,640,Low
15069,1552,Low
15069,13636,High
15069,6587,Low
15069,2349,Low
15072,7149,High
15072,2728,Low
15071,13144,High
15071,3566,Medium
15039,1311,High
15097,9929,Low
15097,1862,Low
15097,1549,Low
15108,10621,Low
15108,5720,Low
15108,2046,High
15114,8996,Low
15114,3444,Low
15114,13188,Low
15119,10051,High
15119,11581,Low
15119,14021,Low
15120,8737,High
15121,4348,Low
15121,1247,Low
15121,6657,High
15026,1714,High
