target_mean,target_spread,opt_mu,opt_sigma,opt_kappa
0.04,1.0,0.0508777021432428,0.1292294257907524,3.935063800178164
0.04,1.25,0.0440745144690822,0.2010611300979551,3.4022190127751952
0.04,1.5,0.0510904528618913,0.205499433038552,0.669967033218648
0.04,1.75,0.0722037445492979,0.2107999041809925,2.2981563330125003
0.04,2.0,0.0458822580379957,0.237750970359465,3.4981362108537186
0.04,2.25,0.0613330201344602,0.2488732689745086,0.6340815433058415
0.04,2.5,0.059478569922819,0.1886677210322892,2.2771657077479004
0.04,2.75,0.0533692953911392,0.1532477359900407,3.294656372926944
0.04,3.0,0.05654727223033176,0.21365872572509148,2.1186343970485773
0.045,1.0,0.05300316680341361,0.19097382408929311,2.634271213406765
0.045,1.25,0.05106349454399088,0.24882818702396003,2.0484196335458704
0.045,1.5,0.051106012736683665,0.23370051184765653,0.5482621906740408
0.045,1.75,0.03916575127004465,0.24717553693050584,3.223174819654664
0.045,2.0,0.03905556423223057,0.2139793001288227,0.7737243171155967
0.045,2.25,0.06691021493618408,0.17904774250656239,0.8057692963471657
0.045,2.5,0.06326488389593038,0.16720712320586184,2.999639531096032
0.045,2.75,0.05202770174929318,0.20203195156920956,1.7035387232200287
0.045,3.0,0.06820911311833755,0.1380051172645435,2.5407942982678424
0.049999999999999996,1.0,0.06115041064497143,0.24797643572247774,0.80977167797104
0.049999999999999996,1.25,0.07579048681932762,0.23609256835540815,2.570279944618903
0.049999999999999996,1.5,0.05993836799193065,0.12323439287347122,1.7730046901087206
0.049999999999999996,1.75,0.06064939799008563,0.16750552172569202,2.405626998984114
0.049999999999999996,2.0,0.06391601294453343,0.22331687918731263,3.777147439142589
0.049999999999999996,2.25,0.06822480305770585,0.18819800095396264,1.8809941918673405
0.049999999999999996,2.5,0.0808341438913629,0.232058243955784,0.6238869300332277
0.049999999999999996,2.75,0.08308356910640757,0.172543933932603,0.7691878089921274
0.049999999999999996,3.0,0.030668098768285315,0.1864566689850875,2.3450533118547705
0.05499999999999999,1.0,0.062306554742700644,0.24773075806376982,1.4625541685337864
0.05499999999999999,1.25,0.05806284644764728,0.24787983724832666,1.3863143923747185
0.05499999999999999,1.5,0.0740258436987142,0.18825587707216399,0.5870065521429289
0.05499999999999999,1.75,0.07693267207804709,0.18799339088724043,0.8543367738393035
0.05499999999999999,2.0,0.07534941614462436,0.1854576369245927,2.380113217164573
