path_id,target_mean,target_spread,actual_annual_return,actual_spread,scenario_p05_price,scenario_p95_price,max_drop,lost_decades
0,0.04,1.0,0.042171721432869846,0.9764998866834068,3.33559519991225,8.816702150594718,0.5835447210556388,0
1,0.04,1.0,0.03307906241756142,0.9764998866834068,3.33559519991225,8.816702150594718,0.6967080872249851,0
2,0.04,1.0,0.029237441248739948,0.9764998866834068,3.33559519991225,8.816702150594718,0.7257573604566678,0
3,0.04,1.0,0.05214159681252939,0.9764998866834068,3.33559519991225,8.816702150594718,0.5060392207547479,0
4,0.04,1.0,0.03611411372816309,0.9764998866834068,3.33559519991225,8.816702150594718,0.6080865633683884,0
5,0.04,1.0,0.046477900591387344,0.9764998866834068,3.33559519991225,8.816702150594718,0.6321338500182354,0
6,0.04,1.0,0.039651143347091855,0.9764998866834068,3.33559519991225,8.816702150594718,0.5812894709491799,0
7,0.04,1.0,0.048713724838960415,0.9764998866834068,3.33559519991225,8.816702150594718,0.5257598392589793,0
8,0.04,1.0,0.03556959346372435,0.9764998866834068,3.33559519991225,8.816702150594718,0.6588156085086745,0
9,0.04,1.0,0.052728132243598624,0.9764998866834068,3.33559519991225,8.816702150594718,0.593124887887392,0
10,0.04,1.0,0.05508457703477965,0.9764998866834068,3.33559519991225,8.816702150594718,0.6669681284391823,0
11,0.04,1.0,0.03349425269219042,0.9764998866834068,3.33559519991225,8.816702150594718,0.5939989787843885,0
12,0.04,1.0,0.05694977506817911,0.9764998866834068,3.33559519991225,8.816702150594718,0.5924259520734536,0
13,0.04,1.0,0.04263250986234679,0.9764998866834068,3.33559519991225,8.816702150594718,0.7285699611095928,0
14,0.04,1.0,0.037162756093072735,0.9764998866834068,3.33559519991225,8.816702150594718,0.4955852008823177,0
15,0.04,1.0,0.051683537404767055,0.9764998866834068,3.33559519991225,8.816702150594718,0.6200462444538193,0
16,0.04,1.0,0.034041406638015026,0.9764998866834068,3.33559519991225,8.816702150594718,0.6232319128735779,0
